codigo_reserva,tarifa,cabina,ruta,categoria_pass,millas_acumuladas,perfil_narrativo
RAG276,Light,Premium Business,Santiago-Miami,Red,45151,"Reserva RAG276: tarifa Light, cabina Premium Business, ruta Santiago-Miami, categoria LATAM Pass Red, 45151 millas acumuladas."
ACF657,Full,Economy,Santiago-Miami,Gold,13694,"Reserva ACF657: tarifa Full, cabina Economy, ruta Santiago-Miami, categoria LATAM Pass Gold, 13694 millas acumuladas."
QVA863,Plus,Economy,Santiago-Sao Paulo,Red,2543,"Reserva QVA863: tarifa Plus, cabina Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Red, 2543 millas acumuladas."
CKJ320,Full,Premium Business,Santiago-Lima,Red,30168,"Reserva CKJ320: tarifa Full, cabina Premium Business, ruta Santiago-Lima, categoria LATAM Pass Red, 30168 millas acumuladas."
ZKP868,Plus,Premium Business,Santiago-Lima,Silver,18468,"Reserva ZKP868: tarifa Plus, cabina Premium Business, ruta Santiago-Lima, categoria LATAM Pass Silver, 18468 millas acumuladas."
BFG021,Top,Premium Economy,Santiago-Sao Paulo,Red,52553,"Reserva BFG021: tarifa Top, cabina Premium Economy, ruta Santiago-Sao Paulo, categoria LATAM Pass Red, 52553 millas acumuladas."
DJS760,Plus,Premium Business,Santiago-Bogota,Gold,3580,"Reserva DJS760: tarifa Plus, cabina Premium Business, ruta Santiago-Bogota, categoria LATAM Pass Gold, 3580 millas acumuladas."
DKZ656,Light,Economy,Santiago-Lima,Red,3039,"Reserva DKZ656: tarifa Light, cabina Economy, ruta Santiago-Lima, categoria LATAM Pass Red, 3039 millas acumuladas."
VKB957,Plus,Premium Business,Santiago-Miami,Red,11158,"Reserva VKB957: tarifa Plus, cabina Premium Business, ruta Santiago-Miami, categoria LATAM Pass Red, 11158 millas acumuladas."
KXM225,Top,Premium Business,Santiago-Buenos Aires,Red,5163,"Reserva KXM225: tarifa Top, cabina Premium Business, ruta Santiago-Buenos Aires, categoria LATAM Pass Red, 5163 millas acumuladas."
LQJ914,Light,Economy,Santiago-Bogota,Silver,2253,"Reserva LQJ914: tarifa Light, cabina Economy, ruta Santiago-Bogota, categoria LATAM Pass Silver, 2253 millas acumuladas."
RVL039,Top,Premium Business,Santiago-Lima,Red,6844,"Reserva RVL039: tarifa Top, cabina Premium Business, ruta Santiago-Lima, categoria LATAM Pass Red, 6844 millas acumuladas."
SCX773,Top,Premium Economy,Santiago-Bogota,Silver,23069,"Reserva SCX773: tarifa Top, cabina Premium Economy, ruta Santiago-Bogota, categoria LATAM Pass Silver, 23069 millas acumuladas."
LYX251,Light,Premium Business,Santiago-Sao Paulo,Red,10830,"Reserva LYX251: tarifa Light, cabina Premium Business, ruta Santiago-Sao Paulo, categoria LATAM Pass Red, 10830 millas acumuladas."
WNE319,Light,Premium Business,Santiago-Sao Paulo,Silver,713,"Reserva WNE319: tarifa Light, cabina Premium Business, ruta Santiago-Sao Paulo, categoria LATAM Pass Silver, 713 millas acumuladas."
MCJ982,Plus,Premium Business,Santiago-Lima,Silver,2804,"Reserva MCJ982: tarifa Plus, cabina Premium Business, ruta Santiago-Lima, categoria LATAM Pass Silver, 2804 millas acumuladas."
CMB771,Full,Premium Business,Santiago-Bogota,Red,44605,"Reserva CMB771: tarifa Full, cabina Premium Business, ruta Santiago-Bogota, categoria LATAM Pass Red, 44605 millas acumuladas."
GWL257,Plus,Premium Business,Santiago-Sao Paulo,Black,24784,"Reserva GWL257: tarifa Plus, cabina Premium Business, ruta Santiago-Sao Paulo, categoria LATAM Pass Black, 24784 millas acumuladas."
KSJ842,Light,Premium Economy,Santiago-Lima,Red,1541,"Reserva KSJ842: tarifa Light, cabina Premium Economy, ruta Santiago-Lima, categoria LATAM Pass Red, 1541 millas acumuladas."
QFF062,Light,Premium Economy,Santiago-Lima,Silver,8701,"Reserva QFF062: tarifa Light, cabina Premium Economy, ruta Santiago-Lima, categoria LATAM Pass Silver, 8701 millas acumuladas."
